"Cell","Drug","IC50"
684052,"Gemcitabine",-4.431597
684052,"CZC24832",5.208131
684052,"VE821",2.528478
684052,"Cyclophosphamide",4.260496
684052,"LCL161",4.986381
684052,"EPZ5676",5.520718
684052,"Rucaparib",3.121324
684052,"Nutlin-3a (-)",4.984548
684052,"Rapamycin",-3.979881
684052,"Refametinib",3.12301
684052,"Talazoparib",-1.38758
684052,"JQ1",2.690581
684052,"Bosutinib",3.087318
684052,"Staurosporine",-2.513714
684052,"Crizotinib",1.019571
684052,"AZD4547",0.932689
684052,"Ruxolitinib",5.173767
684052,"Dactolisib",-2.775327
684052,"PD173074",5.064696
684052,"Tanespimycin",0.939067
684052,"Palbociclib",2.219813
684052,"Ipatasertib",3.50266
684052,"GDC0810",4.954337
684052,"Tamoxifen",3.380743
684052,"PLX-4720",3.600756
684052,"Pevonedistat",-1.826913
684052,"P22077",4.696442
684052,"Irinotecan",-0.372429
684052,"SB590885",3.197965
684052,"NU7441",3.226673
684052,"Wnt-C59",4.03426
684052,"WZ4003",3.540726
684052,"MG-132",-1.530673
684052,"Avagacestat",4.372803
684052,"AT13148",3.019649
684052,"AZD6738",0.902697
684052,"Nilotinib",3.595667
684052,"Sapitinib",4.886757
684052,"Gefitinib",3.56793
684052,"Foretinib",-0.510787
684052,"5-Fluorouracil",4.315668
684052,"SCH772984",3.809975
684052,"Trametinib",1.221512
684052,"AZD8186",3.210317
684052,"PFI-1",4.500832
684052,"Venetoclax",1.723062
684052,"SB216763",4.877061
684052,"AZD3759",2.48161
684052,"LY2109761",5.18206
684052,"BIBR-1532",4.04636
684052,"VE-822",2.291843
684052,"Ulixertinib",2.997333
684052,"I-BET-762",3.040702
684052,"LJI308",4.855298
684052,"Entospletinib",3.339431
684052,"Fulvestrant",2.710606
684052,"IWP-2",2.721679
684052,"AZD5363",3.036818
684052,"Lapatinib",4.972644
684052,"Ribociclib",3.108782
684052,"Epirubicin",-2.38209
684052,"Afatinib",2.217193
684052,"Luminespib",-3.452755
684052,"Telomerase Inhibitor IX",0.559
684052,"Linsitinib",2.513399
684052,"Selumetinib",3.928347
684052,"AZ960",1.344168
684052,"Motesanib",5.229245
684052,"Dactinomycin",-5.878929
684052,"Cediranib",1.612537
684052,"GSK2606414",3.378501
684052,"Paclitaxel",-5.230565
684052,"NVP-ADW742",1.334242
684052,"KRAS (G12C) Inhibitor-12",2.741347
684052,"Ibrutinib",4.62237
684052,"MIRA-1",4.226317
684052,"Niraparib",1.240058
684052,"WIKI4",3.345984
684052,"Dasatinib",3.494589
684052,"Mirin",4.338772
684052,"Pyridostatin",3.203249
684052,"PD0325901",2.116752
684052,"JNK Inhibitor VIII",5.229245
684052,"OSI-027",0.872339
684052,"XAV939",4.158056
684052,"AGI-5198",4.139123
684052,"EHT-1864",3.631141
684052,"Erlotinib",2.536294
684052,"Wee1 Inhibitor",1.633534
684052,"BMS-536924",0.822819
684052,"SGC0946",1.717982
684052,"AMG-319",5.127003
684052,"AGI-6780",3.64382
684052,"Navitoclax",1.090533
684052,"RVX-208",4.306138
684052,"RO-3306",3.932182
684052,"Axitinib",1.18088
684052,"GSK343",2.636968
684052,"SN-38",-6.880544
684052,"Olaparib",1.782152
