pubchem_cid,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,Ncharges,C,H,N,O,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,F,Cl,Br,S,P,B,I,K,Sb,Hg,Pt,V,Zn,Cr,Se,As,abonds,atoms,dbonds,logP,nF,sbonds,tbonds
1018,2.981454614,207.5576621,6.690234444,4.612076558,4.612076558,4.304530453,2.448211765,2.448211765,1.520130465,1.520130465,0.88401114,0.88401114,0.489267188,0.489267188,5.969305288,4.794537184,0,5.693927995,0,0,12.26321064,12.13273414,0,4.983978521,5.106527395,123.0320284,1.555555556,2.333333333,2.666666667,0,-1.38,9,118.071,129.2253387,5.751233596,2.259334201,1.2528322,51.97174907,10.13842593,0.476509472,10.13842593,0.353975499,0.081018519,0.353975499,-0.990185185,-0.476509472,0.7798,31.1963,123.111,1,3,0,0,0,0,1,1,2,1,3,0,1,0,0,0,46,5.106527395,5.693927995,0,0,0,5.969305288,0,9.778515705,0,0,6.066367068,12.13273414,6.196843572,0,1,9.901064579,5.969305288,0,4.983978521,0,0,0,30.08987277,0,0,0,0,0,0,16.0598112,0,0,10.48846518,24.39594478,0,0,0,50.19,0,0,0,0,0,0,0,0,0,27.33333333,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.599868943,123.111,0.7798,2,2,1,1,1,0,2,0.111111111,4,1,1,31.1963,9,0,0,0,0,50.19,2.023742065,0.006945396,0.973324078,12.00504194,9.842523577,40,43,0,6,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,1,0.1,0,2,0
1401,1.902867448,1200.778186,27.70853153,23.64299129,23.64299129,18.14904147,13.11962836,13.11962836,10.08221158,10.08221158,6.030158843,6.030158843,4.006771576,4.006771576,5.538925252,4.794537184,0,6.031114512,34.47585444,49.97034458,0,26.48280572,38.9703128,44.66570698,14.45770443,523.3270882,0.973684211,1.657894737,2.263157895,0.5,-3.66,38,482.354,172117059.3,28.90424541,13.22920962,8.173431062,225.1012703,12.79498439,0.496601684,12.79498439,0.320323388,0.360122171,0.320323388,-0.411874589,-0.496601684,5.1629,153.2921,523.682,3,10,0,0,0,1,2,3,8,3,10,0,12,0,0,0,206,25.00721285,17.31688644,5.647177221,5.948339281,0,6.031114512,5.316788604,14.76249423,4.983978521,0,13.8474744,77.00967676,35.296568,14.21959508,3,14.26826309,28.83071801,0,25.1686339,0,52.9992545,51.03219791,30.46231185,0,22.62592665,25.42409172,16.56073924,11.49902367,0,71.82050576,0,0,47.46032924,30.46231185,0,22.16030442,0,113.53,0,0,0,0,0,0,0,0,0,81.75,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0.278987845,523.682,5.1629,8,8,3,3,3,0,8,0.3,1,2,16,153.2921,40,0,0,0,0,113.53,5.964647095,0.000223903,0.974821233,63.84602244,55.86111551,190,216,0,28,0,7,3,0,0,1,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,38,1,2.3,0,22,0
2907,2.582264028,201.8664757,10.4413113,7.916600186,10.32288527,6.726492059,4.59796171,7.244517017,2.946927544,5.883786773,1.956624335,4.595188949,1.278310391,3.920544175,7.670279739,4.565048285,0,0,31.45640167,12.96557803,0,4.67041619,0,5.087295063,27.72562694,260.0248197,1.357142857,2,2.428571429,1,0.69,14,245.969,1442.833063,12.75807352,6.311144001,3.368384441,94.44153501,12.18854938,0.342983689,12.18854938,0.342983689,0.42253858,0.305966345,-2.842183642,-0.305966345,1.884,59.1912,261.089,1,4,0,1,1,0,0,0,2,1,7,0,5,0,1,1,84,4.523747162,0,0,0,0,7.670279739,4.565048285,9.757711253,0,23.20187978,0,6.420821623,31.39427611,6.606881965,1,9.088795447,30.87215952,0,9.757711253,0,6.420821623,38.00115807,0,0,0,5.087295063,0,0,30.87215952,42.67157426,9.088795447,0,6.420821623,0,0,0,0,41.57,0,11.24802075,0,0,0,0,0,0,19.17487654,4.10488048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605720669,261.089,1.884,2,2,1,1,1,0,2,0.357142857,-1,1,9,59.1912,14,0,0,0,0,41.57,2.896749694,0.000666629,0.871603033,24.17643468,20.10032715,64,72,0,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0.8,0,13,0
3385,3.523897719,312.833941,6.853371151,4.271811323,4.271811323,4.198377303,2.174580796,2.174580796,1.419861056,1.419861056,0.773964207,0.773964207,0.39336191,0.39336191,17.06623113,13.97948942,0,0,6.196843572,0,0,4.983978521,4.983978521,0,0,130.0178556,1.444444444,2.111111111,2.555555556,0,-1.39,9,127.054,104.2009193,5.741406045,1.847976372,1.042170728,48.35927868,11.98481481,0.325347136,11.98481481,0.325347136,0.707037037,0.311155703,-1.001157407,-0.311155703,-0.7977,27.6414,130.078,2,4,0,0,0,0,1,1,2,2,5,0,0,0,0,0,48,4.983978521,0,0,5.817220841,5.559266895,5.689743398,9.778515705,4.794537184,4.390415048,0,0,0,6.196843572,0,1,4.390415048,0,0,9.967957042,0,0,0,32.85214907,0,0,11.24901029,4.390415048,0,0,9.967957042,0,5.817220841,0,15.78591794,0,0,0,65.72,0,0,0,0,0,0,0,0,11.98481481,22.01518519,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482564503,130.078,-0.7977,2,2,2,2,2,0,2,0,6,1,1,27.6414,9,0,0,0,0,65.72,1.956524602,0.005260164,0.959699002,11.52153791,9.495015827,42,46,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,2,-0.8,1,1,0
3899,2.124666471,587.7671185,14.0436056,9.784354941,9.784354941,8.876028663,5.276010415,5.276010415,3.824890629,3.824890629,2.465454512,2.465454512,1.457669247,1.457669247,17.64692974,17.96578233,0,11.25083777,5.760247419,12.13273414,18.32957771,6.9237372,0,10.47345186,4.523094937,270.0616122,1.263157895,1.894736842,2.368421053,0.166666667,-2.31,19,261.138,19345.54186,13.12945074,4.753017218,2.928096338,105.7566477,12.35030035,0.415912065,12.35030035,0.415912065,0.23601659,0.36086762,-4.395233082,-0.36086762,3.25412,60.6372,270.21,1,4,0,0,0,1,1,2,3,1,7,0,2,0,0,0,100,9.839883541,11.32369891,0,0,5.907179729,6.176298517,4.794537184,0,13.17124514,0,5.156663257,31.18920547,5.687386275,11.76029506,2,22.48887726,11.594566,0,5.156663257,0,13.10003572,5.316788604,47.34946225,0,0,5.316788604,18.85863142,0,0,11.06384299,6.176298517,6.9237372,21.68168759,34.98540678,0,0,0,55.13,0,0,0,0,0,0,0,0,41.77844366,19.80488968,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910822991,270.21,3.25412,3,3,1,1,1,0,3,0.1,12,1,5,60.6372,20,0,0,0,0,55.13,3.955175983,0.002875774,0.996602948,24.77901922,20.92518829,98,112,0,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,1,0.4,3,8,0
4261,1.478006419,943.3792238,19.76937395,15.09172553,15.09172553,13.61419354,8.659515066,8.659515066,6.029257578,6.029257578,3.954686734,3.954686734,2.436944184,2.436944184,6.093240071,9.589074368,0,12.51406169,23.48298045,11.12690298,0,66.99099076,6.066367068,15.61755573,10.47053043,376.1535405,0.964285714,1.75,2.464285714,0.095238095,-3.87,28,356.256,2535239.579,18.90731101,9.17872083,5.311552663,162.1012125,12.30209746,0.444623651,12.30209746,0.407235313,0.154166077,0.407235313,-0.522939394,-0.444623651,3.3425,106.5113,376.416,4,7,0,0,0,2,1,3,5,3,7,0,6,0,0,0,142,21.10410764,6.606881965,0,0,5.907179729,6.093240071,9.778515705,4.794537184,0,0,30.33183534,35.89528683,30.06534653,11.37477255,3,14.32593732,23.37519235,0,10.30076712,0,13.15163837,11.05045608,89.7477123,0,0,16.36724469,16.16930973,0,0,16.98439832,17.88850132,0,21.48489166,73.05735783,0,0,0,106.34,0,0,0,0,0,0,0,0,0,68.16666667,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.572189012,376.416,3.3425,5,5,3,3,3,0,5,0.2,12,1,5,106.5113,30,0,0,0,0,106.34,5.259876429,0.000833522,0.992718203,38.59659929,32.6705861,138,155,0,21,0,4,3,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,2,1.8,0,10,0
5279,1.722908301,1748.012575,23.63709924,19.88423859,19.88423859,17.07986535,12.25312148,12.25312148,10.1374734,10.1374734,8.59624047,8.59624047,7.334286572,7.334286572,5.724985594,4.794537184,0,24.28088812,6.544756406,61.15942433,0,7.109797541,7.047671983,75.22245025,9.473725908,466.2004907,1.057142857,1.771428571,2.514285714,0.321428571,-3.39,35,440.333,283668582,19.86788108,6.428959092,2.124023991,201.1165897,13.32208074,0.374791341,13.32208074,0.252133443,0.003567229,0.252133443,-0.759892054,-0.374791341,4.354,135.6479,466.541,2,7,0,3,3,3,2,5,6,2,7,0,2,0,1,1,176,29.24150241,12.33186756,5.724985594,0,5.907179729,0,4.794537184,0,0,0,36.39820241,31.66759481,47.66211326,27.63025436,8,14.26826309,49.51887946,0,19.7677765,0,43.98800921,14.15746952,59.65783953,0,0,10.63357721,0,0,0,41.34465577,21.74346791,0,35.49390016,48.53093655,0,43.61169973,0,69.45,0,0,0,0,0,0,0,0,4.70025085,66.88308248,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405842479,466.541,4.354,6,6,2,2,2,0,6,0.047619048,23,5,11,135.6479,42,0,0,0,0,69.45,3.730260437,0.000239273,0.884189412,41.02405415,27.34575413,220,290,0,28,0,4,3,0,1,0,0,0,0,0,0,0,2,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,1,3.2,0,17,0
5311,2.032661268,392.9373671,13.92443896,10.89310221,10.89310221,9.219545353,6.499645472,6.499645472,4.363395035,4.363395035,2.739924043,2.739924043,1.725543176,1.725543176,0,9.589074368,0,11.81435946,12.84164325,31.37067277,0,5.480096598,30.33183534,5.316788604,5.207253025,264.1473925,0.894736842,1.473684211,2.052631579,0.428571429,-1.88,19,244.165,18362.67235,15.17841121,9.103589517,7.205209338,112.5219809,11.59141463,0.326098479,11.59141463,0.242828618,0.013241896,0.242828618,-0.359425318,-0.326098479,2.4711,72.7029,264.325,3,5,0,0,0,1,0,1,3,3,5,0,8,0,0,0,104,5.316788604,0,0,11.81435946,0,0,14.79632739,5.480096598,0,0,31.04074445,24.97437738,18.52902952,0,1,14.79632739,17.50174573,0,5.480096598,0,38.52492974,5.316788604,30.33183534,0,0,10.7968852,5.687386275,0,0,17.02161248,9.589074368,0,38.52492974,30.33183534,0,0,0,78.43,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.3832201,264.325,2.4711,3,3,3,3,3,0,3,0.421052632,-1,0,7,72.7029,19,0,0,0,0,78.43,4.861981848,0.002083695,0.996768691,32.23265003,29.71263644,82,86,0,14,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,2,1,0,11,0
5394,2.906324848,567.1956839,10.29252874,7.207265097,7.207265097,6.609060905,3.678568789,3.678568789,2.646659856,2.646659856,1.732210742,1.732210742,1.054941054,1.054941054,11.59692313,9.589074368,0,11.34110522,0,9.082497541,13.37499206,0,0,15.29604542,5.733667477,194.0552234,1.571428571,2.285714286,2.928571429,0.166666667,-2.25,14,188.106,2040.690706,8.35284506,2.619892645,0.969381544,76.96785319,11.39548375,0.36413475,11.39548375,0.352194964,0.06,0.352194964,-0.74069161,-0.36413475,-2.0781,44.5409,194.154,2,8,0,0,0,0,2,2,7,1,8,0,1,0,0,0,72,5.733667477,6.327320075,11.34110522,0,5.907179729,5.689743398,4.794537184,14.17921031,4.681802935,5.098681808,5.213385096,0,7.047671983,0,2,4.794537184,11.55435695,0,24.37854297,12.78133946,0,0,22.50552865,0,0,11.42341088,0,0,0,30.2857227,7.047671983,0,10.48846518,11.12185726,0,5.647177221,0,108.17,0,0,0,0,0,0,0,0,2.131494709,39.53517196,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560119174,194.154,-2.0781,7,7,1,1,1,0,7,0.066666667,10,2,1,44.5409,15,0,0,0,0,108.17,2.550230125,0.002808467,0.974257675,17.82294164,13.22415612,74,89,0,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,2,-1.4,0,3,0
5672,1.369708939,2247.96997,40.23311108,34.01610695,34.01610695,27.38479922,20.34967728,20.34967728,17.17895814,17.17895814,14.75981886,14.75981886,12.84476661,12.84476661,45.93044001,14.69560176,4.794537184,17.92905216,50.20969741,52.92147662,26.71643681,7.109797541,37.07042012,58.13469671,18.94745182,778.3941647,1,1.771929825,2.473684211,0.533333333,-4.65,57,724.515,7.49512E+12,37.90033363,13.18875057,4.803710457,333.2908168,15.17173188,0.496343357,15.17173188,0.343611226,0.028414341,0.343611226,-2.274489712,-0.496343357,4.7536,214.0775,778.947,2,12,1,5,6,2,1,3,11,2,12,0,7,1,1,2,302,33.93786746,11.1645023,6.103966388,5.601050811,0,17.90791586,19.38889383,4.794537184,0,0,55.84774046,61.40558606,90.93631434,27.37123345,9,38.43759076,34.49822707,0,14.78379798,11.33289652,87.61793429,59.45599996,82.58364973,0,5.749511833,9.636772685,5.687386275,5.749511833,0,116.1430303,45.96893776,11.33289652,68.83878056,60.19936726,0,10.90292493,0,133.87,0,0,0,0,0,0,0,0,0,125.3333333,0,1,0,0,0,1,1,0,0,0,3,3,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19568989,778.947,4.7536,11,11,2,2,2,1,11,0.107692308,19,6,24,214.0775,65,0,0,0,0,133.87,5.239136524,0.000183214,0.957515486,78.23318559,55.36253788,338,439,0,45,0,4,8,0,0,2,0,1,0,0,0,3,4,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,57,5,4.6,0,44,0
