ccle_name,pubchem_cid,ic50
ACH-000586,3385,5.57023
ACH-000288,3385,4.978355
ACH-000291,3385,6.903448
ACH-000563,3385,6.499622
ACH-000484,3385,2.26856
ACH-000176,3385,4.238104
ACH-000536,3385,5.399438
ACH-000776,3385,3.289325
ACH-000115,3385,6.462326
ACH-000264,3385,5.8463
ACH-000258,3385,2.266759
ACH-000846,3385,4.431865
ACH-000303,3385,1.756804
ACH-000822,3385,5.819432
ACH-000717,3385,4.837208
ACH-000864,3385,5.332055
ACH-000104,3385,4.166628
ACH-000679,3385,3.077422
ACH-000373,3385,1.116198
ACH-000074,3385,4.661492
ACH-000763,3385,3.688409
ACH-000001,3385,4.831189
ACH-000640,3385,4.917372
ACH-000905,3385,3.119386
ACH-000922,3385,1.880115
ACH-000335,3385,6.179917
ACH-000680,3385,4.462151
ACH-000655,3385,6.618559
ACH-000566,3385,5.938756
ACH-000191,3385,6.181155
ACH-000248,3385,2.798046
ACH-000521,3385,4.277566
ACH-000322,3385,5.483549
ACH-000410,3385,4.658073
ACH-000817,3385,1.390813
ACH-000668,3385,5.643527
ACH-001307,3385,6.407865
ACH-000806,3385,-0.12084
ACH-000805,3385,4.895921
ACH-000481,3385,3.937027
ACH-000052,3385,4.315668
ACH-000888,3385,7.75055
ACH-000189,3385,6.596895
ACH-000656,3385,4.309469
ACH-000976,3385,3.143841
ACH-000823,3385,3.516276
ACH-000267,3385,3.776892
ACH-000867,3385,4.548298
ACH-000554,3385,5.636991
ACH-000273,3385,2.371581
ACH-000879,3385,6.961926
ACH-000441,3385,4.697778
ACH-000802,3385,3.677766
ACH-000906,3385,4.383001
ACH-000890,3385,6.479569
ACH-000793,3385,3.233654
ACH-000677,3385,6.468117
ACH-000311,3385,0.990617
ACH-000546,3385,3.295739
ACH-000493,3385,4.389677
ACH-000930,3385,4.680672
ACH-000672,3385,6.940245
ACH-000628,3385,4.649583
ACH-000896,3385,5.702251
ACH-000060,3385,6.6044
ACH-000212,3385,7.129417
ACH-000401,3385,5.034749
ACH-000981,3385,4.064133
ACH-000151,3385,1.835998
ACH-000355,3385,3.35392
ACH-000934,3385,6.172487
ACH-000294,3385,1.395529
ACH-000295,3385,2.98467
ACH-000144,3385,6.084772
ACH-000356,3385,3.785692
ACH-000859,3385,5.369619
ACH-000271,3385,3.070748
ACH-000301,3385,2.827535
ACH-000360,3385,1.346598
ACH-000663,3385,4.583606
ACH-001016,3385,6.107925
ACH-000378,3385,3.629322
ACH-000254,3385,5.532719
ACH-000414,3385,3.588734
ACH-000009,3385,5.537326
ACH-000626,3385,4.674456
ACH-000359,3385,4.442263
ACH-000983,3385,3.139935
ACH-000821,3385,4.537607
ACH-000098,3385,6.595962
ACH-000650,3385,5.151554
ACH-000558,3385,2.710227
ACH-000399,3385,4.57835
ACH-000752,3385,2.994215
ACH-000826,3385,3.491552
ACH-000869,3385,5.262107
ACH-000363,3385,4.77009
ACH-000530,3385,7.308453
ACH-000880,3385,3.65151
ACH-000376,3385,4.089975
ACH-000750,3385,3.322402
ACH-000072,3385,3.872886
ACH-000858,3385,4.254684
ACH-000654,3385,3.5886
ACH-000665,3385,7.086673
ACH-000384,3385,4.646333
ACH-000096,3385,2.081912
ACH-000116,3385,7.135085
ACH-000840,3385,3.202488
ACH-000411,3385,3.133819
ACH-001075,3385,2.634468
ACH-000595,3385,6.989018
ACH-000231,3385,4.859883
ACH-000146,3385,1.49454
ACH-000236,3385,6.338619
ACH-000614,3385,5.050242
ACH-000228,3385,2.036365
ACH-000920,3385,2.850301
ACH-000874,3385,2.226139
ACH-000081,3385,2.790979
ACH-000450,3385,3.69802
ACH-000812,3385,4.669833
ACH-000323,3385,3.463196
ACH-000035,3385,6.057618
ACH-000824,3385,4.958997
ACH-000810,3385,3.643781
ACH-000932,3385,4.488564
ACH-000788,3385,4.768045
ACH-000610,3385,6.379385
ACH-000885,3385,3.49444
ACH-000067,3385,3.695166
ACH-000596,3385,3.731432
ACH-000863,3385,9.43428
ACH-000828,3385,7.18055
ACH-000871,3385,2.7562
ACH-000396,3385,5.080639
ACH-000559,3385,7.276836
ACH-000486,3385,2.622445
ACH-000657,3385,2.115338
ACH-000147,3385,4.94648
ACH-000156,3385,3.013221
ACH-000438,3385,3.824963
ACH-000674,3385,7.364056
ACH-000417,3385,7.424185
ACH-000749,3385,4.725886
ACH-000555,3385,5.064931
ACH-000449,3385,3.511969
ACH-000518,3385,3.788662
ACH-000018,3385,3.666305
ACH-000091,3385,6.557703
ACH-000950,3385,2.588446
ACH-000648,3385,6.427008
ACH-000803,3385,4.694375
ACH-000201,3385,4.596301
ACH-000980,3385,6.006795
ACH-000853,3385,7.338996
ACH-000615,3385,4.448033
ACH-000482,3385,6.526274
ACH-000437,3385,6.279248
ACH-000478,3385,6.065938
ACH-000090,3385,4.509664
ACH-000137,3385,3.416356
ACH-000238,3385,5.413154
ACH-000381,3385,6.17556
ACH-000078,3385,1.48181
ACH-000910,3385,3.486193
ACH-000856,3385,3.3306
ACH-000978,3385,5.960869
ACH-000287,3385,2.243131
ACH-000343,3385,6.681702
ACH-000986,3385,3.934888
ACH-000960,3385,4.281505
ACH-000786,3385,2.635414
ACH-000226,3385,-0.190025
ACH-000943,3385,2.041622
ACH-000421,3385,4.067336
ACH-000159,3385,5.509289
ACH-000956,3385,2.319251
ACH-000702,3385,3.766665
ACH-000860,3385,4.451507
ACH-000989,3385,2.904674
ACH-000207,3385,3.628184
ACH-000243,3385,3.930694
ACH-000780,3385,4.689059
ACH-000318,3385,3.563165
ACH-000603,3385,4.070774
ACH-000196,3385,5.304199
ACH-000394,3385,4.047
ACH-000002,3385,2.558821
ACH-000966,3385,3.371913
ACH-000643,3385,5.294911
ACH-000790,3385,4.018432
ACH-000434,3385,5.762432
ACH-000135,3385,4.075615
ACH-000698,3385,6.608351
ACH-000971,3385,2.710655
ACH-000420,3385,6.029024
ACH-000589,3385,2.2076
ACH-000744,3385,2.948167
ACH-000059,3385,2.163407
ACH-000572,3385,6.541292
ACH-000225,3385,4.157724
ACH-000693,3385,2.319233
ACH-000392,3385,7.3707
ACH-000505,3385,7.337751
ACH-000638,3385,7.39932
ACH-000352,3385,8.10549
ACH-000332,3385,6.480829
ACH-000787,3385,4.961781
ACH-000644,3385,9.202779
ACH-000106,3385,1.108885
ACH-000386,3385,5.28497
ACH-000070,3385,2.253146
ACH-000350,3385,9.518231
ACH-000488,3385,2.977346
ACH-000374,3385,5.096717
ACH-000624,3385,2.913259
ACH-000198,3385,1.05715
ACH-000019,3385,3.627995
ACH-000772,3385,3.500173
ACH-000456,3385,5.383155
ACH-000599,3385,6.44412
ACH-000400,3385,2.686446
ACH-000111,3385,6.868742
ACH-000815,3385,5.554546
ACH-000501,3385,7.044807
ACH-000738,3385,5.946648
ACH-000678,3385,6.704897
ACH-000304,3385,5.660733
ACH-000997,3385,2.769103
ACH-000270,3385,5.490458
ACH-000320,3385,1.354905
ACH-000023,3385,4.186317
ACH-000948,3385,1.807592
ACH-000714,3385,2.402338
ACH-000473,3385,3.551807
ACH-000915,3385,2.529927
ACH-000816,3385,3.805337
ACH-000425,3385,4.900622
ACH-000619,3385,2.952995
ACH-000775,3385,7.894445
ACH-000008,3385,3.944557
ACH-000087,3385,3.838446
ACH-000048,3385,5.229544
ACH-000716,3385,8.545843
ACH-000496,3385,2.596211
ACH-000945,3385,6.025108
ACH-000882,3385,6.142581
ACH-000054,3385,5.883296
ACH-000357,3385,3.358666
ACH-000379,3385,6.325279
ACH-000535,3385,4.954002
ACH-000403,3385,4.976671
ACH-000587,3385,4.051812
ACH-000187,3385,4.724747
ACH-000768,3385,4.37314
ACH-000652,3385,4.856861
ACH-000621,3385,3.488838
ACH-000835,3385,4.14065
ACH-000245,3385,4.622958
ACH-000751,3385,3.854802
ACH-000924,3385,5.627639
ACH-000878,3385,3.781355
ACH-000457,3385,2.578937
ACH-000380,3385,3.753687
ACH-000911,3385,3.988299
ACH-000169,3385,5.554583
ACH-000937,3385,4.316744
ACH-000470,3385,4.563716
ACH-000784,3385,5.617588
ACH-000408,3385,5.357449
ACH-000157,3385,1.972038
ACH-000204,3385,6.133914
ACH-000171,3385,8.325187
ACH-000953,3385,3.613812
ACH-000789,3385,3.911014
ACH-000947,3385,2.098356
ACH-000929,3385,2.909778
ACH-000778,3385,4.057232
ACH-000713,3385,2.709018
ACH-000627,3385,4.613619
ACH-000609,3385,2.987347
ACH-000491,3385,6.015067
ACH-000800,3385,5.291405
ACH-000315,3385,4.107097
ACH-000849,3385,4.996551
ACH-000792,3385,3.56226
ACH-000186,3385,6.242126
ACH-000745,3385,2.531059
ACH-000708,3385,4.325417
ACH-000200,3385,7.224343
ACH-000269,3385,5.556104
ACH-000939,3385,4.47775
ACH-000963,3385,2.536794
ACH-000625,3385,3.650156
ACH-000814,3385,4.892547
ACH-000918,3385,1.786507
ACH-000616,3385,7.279692
ACH-000061,3385,5.650833
ACH-000472,3385,3.722859
ACH-000440,3385,4.601485
ACH-000105,3385,4.695155
ACH-000046,3385,3.136095
ACH-000489,3385,6.399137
ACH-000936,3385,3.160899
ACH-000991,3385,3.298758
ACH-000811,3385,4.604
ACH-000247,3385,4.098615
ACH-000585,3385,4.591608
ACH-000515,3385,3.988793
ACH-000565,3385,5.425751
ACH-000938,3385,2.339071
ACH-000730,3385,5.247728
ACH-000927,3385,7.654648
ACH-000688,3385,3.850381
ACH-000613,3385,4.495941
ACH-000222,3385,8.818943
ACH-000852,3385,6.083408
ACH-000637,3385,6.376076
ACH-000210,3385,2.52635
ACH-000347,3385,4.893391
ACH-000120,3385,2.911621
ACH-000841,3385,5.372153
ACH-000221,3385,4.231405
ACH-000617,3385,5.826503
ACH-000781,3385,2.306838
ACH-000660,3385,2.232224
ACH-000429,3385,5.821449
ACH-000794,3385,3.161579
ACH-000827,3385,3.247306
ACH-000389,3385,2.590607
ACH-000475,3385,6.252376
ACH-000073,3385,2.410874
ACH-000451,3385,6.90636
ACH-000866,3385,3.43072
ACH-000476,3385,7.160913
ACH-000162,3385,3.881234
ACH-000082,3385,7.33665
ACH-000607,3385,3.464507
ACH-000998,3385,2.961436
ACH-000364,3385,4.626389
ACH-000348,3385,3.675399
ACH-000570,3385,4.352037
ACH-000957,3385,4.394066
ACH-000579,3385,7.324171
ACH-000480,3385,7.51902
ACH-000249,3385,6.881386
ACH-000121,3385,9.412202
ACH-000244,3385,7.462406
ACH-000551,3385,5.180899
ACH-000514,3385,6.775367
ACH-000504,3385,4.38502
ACH-000783,3385,4.991239
ACH-000703,3385,3.132114
ACH-000416,3385,2.318082
ACH-000876,3385,5.355025
ACH-000142,3385,5.652855
ACH-000469,3385,4.988342
ACH-000308,3385,7.788879
ACH-000138,3385,3.516003
ACH-000447,3385,4.902864
ACH-000109,3385,5.707278
ACH-000857,3385,5.058824
ACH-000062,3385,3.326052
ACH-000974,3385,4.608559
ACH-000188,3385,5.843689
ACH-000161,3385,5.512309
ACH-000830,3385,3.2224
ACH-000148,3385,4.857219
ACH-000649,3385,4.037938
ACH-000825,3385,5.711696
ACH-000562,3385,3.723908
ACH-000944,3385,3.015935
ACH-000305,3385,5.109971
ACH-000740,3385,5.223441
ACH-000917,3385,5.767931
ACH-000718,3385,4.610593
ACH-001306,3385,6.848184
ACH-000694,3385,6.026621
ACH-000527,3385,6.584731
ACH-000560,3385,4.773321
ACH-000969,3385,2.714077
ACH-000580,3385,6.576414
ACH-000881,3385,4.999858
ACH-000754,3385,3.917973
ACH-000670,3385,4.234584
ACH-000439,3385,5.802172
ACH-000334,3385,4.347801
ACH-000242,3385,4.195505
ACH-000548,3385,4.205742
ACH-000153,3385,5.217386
ACH-000366,3385,3.685289
