,ID,cell.names,DepmapModelType,cosmic.id,cell.names_nerd,cell.names.1
1,ACH-000956,22RV1,PRAD,924100,22RV1,22RV1
2,ACH-000948,2313287,STAD,910924,2313287,23132-87
3,ACH-000323,42MGBA,GB,687561,42MGBA,42-MG-BA
4,ACH-001002,451LU,SKCM,1287706,NA,451Lu
5,ACH-000905,5637,BLCA,687452,5637,5637
6,ACH-000973,639V,UCU,906798,NA,639-V
7,ACH-000896,647V,BLCA,906797,647V,647-V
8,ACH-000070,697,BALL,906800,697,697
9,ACH-000411,769P,CCRCC,910922,769P,769-P
10,ACH-000649,786O,CCRCC,905947,7860,786-0
11,ACH-000137,8MGBA,GB,687562,8MGBA,8-MG-BA
12,ACH-001306,8305C,THAP,906795,8305C,8305C
13,ACH-001307,8505C,THAP,924102,8505C,8505C
14,ACH-000008,A101D,MEL,910921,A101D,A101D
15,ACH-000558,A172,GB,687563,A172,A172
16,ACH-000201,A204,MRT,910784,A204,A204
17,ACH-000788,A2058,MEL,906792,A2058,A2058
18,ACH-000740,A253,OCSC,906794,A253,A253
19,ACH-000657,A2780,EOV,906804,A2780,A2780
20,ACH-000697,A3KAW,DLBCLNOS,910935,NA,A3-KAW
21,ACH-000219,A375,MEL,906793,A375,A375
22,ACH-001442,A388,CSCC,910697,A388,A388
23,ACH-000157,A4FUK,DLBCLNOS,910934,A4Fuk,A4-Fuk
24,ACH-000757,A427,LUAD,910851,A427,A427
25,ACH-001328,A431,CSCC,910925,A431,A431
26,ACH-000555,A498,RCC,905948,A498,A498
27,ACH-000681,A549,LUAD,905949,A549,A549
28,ACH-000052,A673,ES,684052,A673,A673
29,ACH-000429,A704,RCC,910920,A704,A704
30,ACH-000528,ABC1,LUAD,906791,NA,ABC-1
31,ACH-000046,ACHN,PRCC,905950,ACHN,ACHN
32,ACH-000880,AGS,STAD,906790,AGS,AGS
33,ACH-002209,ALLPO,BALL,910944,NA,ALL-PO
34,ACH-000105,ALLSIL,TALL,1295740,ALLSIL,ALL-SIL
35,ACH-000269,AM38,GB,910933,AM38,AM-38
36,ACH-000838,AMO1,PCM,1295741,NA,AMO-1
37,ACH-000940,AN3CA,UCEC,910781,AN3CA,AN3-CA
38,ACH-002210,ARH77,ZIMMBL,906765,NA,ARH-77
39,ACH-001443,ASH3,THAP,1290722,ASH3,ASH-3
40,ACH-000222,ASPC1,PAAD,910702,AsPC1,AsPC-1
41,ACH-002058,ATN1,TALL,NA,NA,ATN-1
42,ACH-000248,AU565,BRCA,910704,AU565,AU565
43,ACH-000456,BCPAP,THPD,924104,BCPAP,B-CPAP
44,ACH-002211,BALL1,BALL,910705,NA,BALL-1
45,ACH-002212,BB30HNC,HNSC,753531,NA,BB30-HNC
46,ACH-002213,BB49HNC,OCSC,753532,NA,BB49-HNC
47,ACH-002090,BB65RCC,RCC,753533,NA,BB65-RCC
48,ACH-002214,BC1,PEL,910919,NA,BC-1
49,ACH-002215,BC3,PEL,910918,NA,BC-3
50,ACH-002216,BE13,TALL,906763,NA,BE-13
51,ACH-002217,BE2M17,NBL,753616,NA,BE2-M17
52,ACH-001016,BECKER,ASTR,906746,Becker,Becker
53,ACH-000603,BEN,NSCLC,753534,BEN,BEN
54,ACH-000802,BFTC905,BLCA,910926,BFTC905,BFTC-905
55,ACH-000792,BFTC909,RCC,910698,BFTC909,BFTC-909
56,ACH-000191,BHT101,THAP,906696,BHT101,BHT-101
57,ACH-000548,BHY,OCSC,753535,BHY,BHY
58,ACH-001331,BICR10,OCSC,1290724,NA,BICR10
59,ACH-000794,BICR22,OCSC,1240121,BICR22,BICR22
60,ACH-000228,BICR31,OCSC,1290725,BICR31,BICR31
61,ACH-001332,BICR78,OCSC,1240122,BICR78,BICR78
62,ACH-000245,BL41,BL,910706,BL41,BL-41
63,ACH-001452,BONNA12,HCL,906695,NA,BONNA-12
64,ACH-001453,BPH1,ZHYPP,924105,BPH1,BPH-1
65,ACH-000536,BT20,IDC,906801,BT20,BT-20
66,ACH-000927,BT474,IDC,946359,BT474,BT-474
67,ACH-000818,BT483,IDC,949093,NA,BT-483
68,ACH-000288,BT549,BRCNOS,905951,BT549,BT-549
69,ACH-000432,BV173,BALL,910710,NA,BV-173
70,ACH-000535,BXPC3,PAAD,906693,BxPC3,BxPC-3
71,ACH-001333,C33A,CESC,687505,C33A,C-33-A
72,ACH-001334,C4I,CESC,687506,C4I,C-4-I
73,ACH-000009,C2BBE1,COAD,910700,C2BBe1,C2BBe1
74,ACH-000580,C32,MEL,906830,C32,C32
75,ACH-001021,C3A,LIHB,910850,NA,C3A
76,ACH-001336,CASKI,CESC,906824,CASKI,Ca-Ski
77,ACH-000440,CA46,BL,910703,CA46,CA46
78,ACH-002043,CA922,OCSC,NA,NA,Ca9-22
79,ACH-000210,CADOES1,ES,753539,CADOES1,CADO-ES1
80,ACH-000433,CAKI1,CCRCC,905963,NA,CAKI-1
81,ACH-000212,CAL120,BRCA,906826,CAL120,CAL-120
82,ACH-000826,CAL12T,NSCLC,753540,CAL12T,CAL-12T
83,ACH-000902,CAL148,IDC,924106,NA,CAL-148
84,ACH-000832,CAL27,OCSC,910916,CAL27,CAL-27
85,ACH-000142,CAL29,BLCA,1290730,CAL29,CAL-29
86,ACH-000518,CAL33,OCSC,753541,CAL33,CAL-33
87,ACH-002091,CAL39,VSC,924107,NA,CAL-39
88,ACH-000856,CAL51,BRCA,910927,CAL51,CAL-51
89,ACH-000457,CAL54,RCC,910952,CAL54,CAL-54
90,ACH-000174,CAL62,THAP,906828,CAL62,CAL-62
91,ACH-001715,CAL72,OS,906827,CAL72,CAL-72
92,ACH-000516,CAL78,DDCHS,1290765,CAL78,CAL-78
93,ACH-000857,CAL851,IDC,910852,CAL851,CAL-85-1
94,ACH-000392,CALU3,LUAD,687777,Calu3,Calu-3
95,ACH-000264,CALU6,LUAD,724859,Calu6,Calu-6
96,ACH-000783,CAMA1,ILC,946382,CAMA1,CAMA-1
97,ACH-000713,CAOV3,HGSOC,906825,Caov3,Caov-3
98,ACH-000103,CAOV4,HGSOC,949090,NA,Caov-4
99,ACH-000354,CAPAN1,PAAD,753624,CAPAN1,CAPAN-1
100,ACH-000107,CAPAN2,PAAD,910915,NA,CAPAN-2
101,ACH-002345,CAR1,READ,NA,NA,CaR-1
102,ACH-000464,CAS1,GB,910943,NA,CAS-1
103,ACH-000963,CCK81,COAD,1240123,CCK81,CCK-81
104,ACH-001738,CCRFCEM,TALL,905952,NA,CCRF-CEM
105,ACH-002218,CESS,AML,910688,NA,CESS
106,ACH-000138,CFPAC1,PAAD,906821,CFPAC1,CFPAC-1
107,ACH-001023,CGTHW1,HNSC,910568,NA,CGTH-W-1
108,ACH-000867,CHAGOK1,NSCLC,687596,ChaGoK1,ChaGo-K-1
109,ACH-001024,CHL1,MEL,910853,NA,CHL-1
110,ACH-000136,CHP126,NBL,910567,NA,CHP-126
111,ACH-001338,CHP134,NBL,910941,NA,CHP-134
112,ACH-000120,CHP212,NBL,906820,CHP212,CHP-212
113,ACH-002092,CHSA0011,CHS,1290767,NA,CHSA0011
114,ACH-002093,CHSA0108,CHS,1290768,NA,CHSA0108
115,ACH-002094,CHSA8926,CHS,1303912,NA,CHSA8926
116,ACH-000249,CL11,COAD,1290769,CL11,CL-11
117,ACH-000920,CMLT1,CMLBCRABL1,910951,CMLT1,CML-T1
118,ACH-001039,COLO205,COAD,905961,NA,COLO-205
119,ACH-002219,COLO320HSR,COAD,910569,NA,COLO-320-HSR
120,ACH-000803,COLO668,SCLC,910692,COLO668,COLO-668
121,ACH-000350,COLO678,COAD,910689,COLO678,COLO-678
122,ACH-000805,COLO679,SKCM,906818,COLO679,COLO-679
123,ACH-000717,COLO680N,ESCC,906817,COLO680N,COLO-680N
124,ACH-000864,COLO684,UCEC,910691,COLO684,COLO-684
125,ACH-000812,COLO783,MEL,1240125,COLO783,COLO-783
126,ACH-000968,COLO792,MEL,906814,COLO792,COLO-792
127,ACH-000401,COLO800,SKCM,906813,COLO800,COLO-800
128,ACH-001820,COLO824,BNNOS,,COLO824,COLO-824
129,ACH-000644,COLO829,SKCM,687448,COLO829,COLO-829
130,ACH-000161,CORL105,LUAD,906805,CORL105,COR-L105
